WorkerId,imageID,Answer.tag1,Answer.tag10,Answer.tag2,Answer.tag3,Answer.tag4,Answer.tag5,Answer.tag6,Answer.tag7,Answer.tag8,Answer.tag9
435753,5ec4f92cf0611d7ddd74151c.jpg,kitchen,dishwasher,countertops,cabinets,sink,faucet,plant,cutting board,knives,window
918411,5d4bf058cf0b3a0f3f354c32.jpg,bucket,,door,cloth,dress,cover,,,,
665983,5d4bf058cf0b3a0f3f354c32.jpg,bucket,,wall,metal sheet,plastic cover,stone,,,,
199019,5d4bf058cf0b3a0f3f354c32.jpg,bathroom,,rural area bahtroom,dirty place,need cleaning,damage,,,,
284919,5d4be94ecf0b3a0f3f348606.jpg,kitchen,,sink,tap,mop,dustbin,,,,
771678,5d4be94ecf0b3a0f3f348606.jpg,Sink,,Photo collections,Shelves,Tap,Wall,,,,
598710,5d4befa2cf0b3a0f3f3538ce.jpg,window,,chair,glass,water bottle,gan,,,,
730266,5d4befa2cf0b3a0f3f3538ce.jpg,chair,,table,bottle,water,fridge,,,,
494896,5d4bf3d8cf0b3a0f3f35aa38.jpg,Orange,,Wall,Rustic,Shadows,Outdoors,,,,
148974,5d4bf3d8cf0b3a0f3f35aa38.jpg,house,,dress,wash,dry,home,,,,
600029,5d4bf3d8cf0b3a0f3f35aa38.jpg,CAN RELAX IN THIS PLACE,,CAN DRY CLOTHS,CAN PLAY HERE,KEEP SOME THINGS,RELAXING PLACE,BUILT ROOMS,,,
934851,5d4bf0c3cf0b3a0f3f35576e.jpg,door,,wall,cot,wood,floor,,,,
533612,5d4bf0c3cf0b3a0f3f35576e.jpg,Rustic door,Modest living,Wooden latch,Mud walls,Simple bench,Yellow container,Hanging clothes,Red hat,Weathered,Rural dwelling
287276,5f4e7f70745497a9bdf1dc58.jpg,sap,,tablw mug,oven,tap,water,,,,
962499,5f4e7f70745497a9bdf1dc58.jpg,Kitchen,pans,pantry,cabinets,sink,dishes,drawers,kitchen sink,cups,pots
749664,5d4bdf6bcf0b3a0f3f3379c3.jpg,Door,,Glass,Design,Wall,Tree design,,,,
148974,5d4bed89cf0b3a0f3f34fcba.jpg,DRESS,,WASH,CLEAN,REFRESH,SMOOTH,,,,
934851,5d4bed89cf0b3a0f3f34fcba.jpg,clothes,,rope,clothes clip,window,plastic products,,,,
674761,61970a7928065d38c284bd53.jpg,oven,,class,kichten,table,door,cross,,,
734511,61970a7928065d38c284bd53.jpg,kitchen,,appliances,microwave,cabinetry,storage,home,interior,cooking,
889336,5d4bdf23cf0b3a0f3f3372e7.jpg,clothesline,,hanging,drying,laundry,washing,,,,
494896,5d4bdf23cf0b3a0f3f3372e7.jpg,house,,cloth,cloths,door,thread,,,,
446378,5d4bdf23cf0b3a0f3f3372e7.jpg,betsheet,,shirt,towel,pants,door,plastic,,,
533612,5d4bef1ccf0b3a0f3f352a2e.jpg,Rustic house,Entrance,Mud bricks,Thatch roof,Plastic sheeting,Open door,Clothing,Cracked walls,Household items,Exterior
764783,5d4bef1ccf0b3a0f3f352a2e.jpg,house,,old model,dress,door,not bad,,,,
494896,5d4bef9acf0b3a0f3f3537ee.jpg,fridge,,water bottle,glass,kitchen,mirror,,,,
340888,5d4beffacf0b3a0f3f35429c.jpg,stone,,wood,wood door,door,sand,,,,
494896,5d4beffacf0b3a0f3f35429c.jpg,door,,color,brown,bricks,sandel,,,,
435476,5d4bf05ccf0b3a0f3f354ca6.jpg,Clothes,Bucket,Hangers,Wall,Laundry,Storage,Interior,Household,Room,Organization
156782,5d4bf05ccf0b3a0f3f354ca6.jpg,outside view,,storage,drying clothes,hanging,colourful item,sand flooring,steel door,,
463831,5d4bf05ccf0b3a0f3f354ca6.jpg,cloths,,tub,mug,clip,wheel,woman,cement sheet,rope,
812292,617dbe62e3e8aa75c38ef136.jpg,Kitchen,,sink,cabinets,white,galley style,,,,
776491,61d3551a7370868fd142b79f.jpg,floor,,brown,door,lock,wall,,,,
176560,5ec4fb64f0611d7ddd7427b8.jpg,houser,,tresh,vessle,pan,plastic cup,,,,
309281,5ec4fb64f0611d7ddd7427b8.jpg,Rustic kitchen,Functional,Gas stove,Frying,Utensils,Plastic containers,White brick walls,Compact space,Concrete countertop,Pots and pans
370532,5ec4fb64f0611d7ddd7427b8.jpg,small house,,poore people,food,egg,curtain,,,,
178862,5ed194b1581a3d1fe77f8e37.jpg,door,,house,ground,stone,grip,,,,
345581,5ed194b1581a3d1fe77f8e37.jpg,Wooden door,Rustic entrance,Brick wall,Simple design,Weathered wood,Traditional architecture,Doorway,Closed door,Old building,Countryside scene
861370,5ed194b1581a3d1fe77f8e37.jpg,door,,bricks,wood,entrance,house,outside,,,
272809,6297c3762cd50d183586c517.jpg,CLOTHES,,DRY,HANG,ROPE,ROOM,,,,
334568,6297c3762cd50d183586c517.jpg,dirty,,rush,disorganized,tie,culture,,,,
426916,6297c3762cd50d183586c517.jpg,dresses,,wall,stones,rope,floor,,,,
918411,5d4be4e7cf0b3a0f3f340f08.jpg,cabinet,,sink,pipe,spatula,tissue,knife,oil dipenser,,
934851,5d4be4e7cf0b3a0f3f340f08.jpg,slope,,containers,vessels,wall,table,,,,
887094,5d4be4e7cf0b3a0f3f340f08.jpg,cooker,,kinfe,suger,salt,washer,,,,
598710,5d4bf42dcf0b3a0f3f35b2e2.jpg,cloths,,clip,soil,wire,roof,,,,
519786,5d4bf42dcf0b3a0f3f35b2e2.jpg,cloths,,dry,fencing,bink,blue,,,,
749743,5d4bef83cf0b3a0f3f353634.jpg,Kitchen,Backsplash,Cream Cabinets,Blue Countertop,Microwave,Stove,Oven,Range Hood,Utensils,Fruits
761105,5d4bef83cf0b3a0f3f353634.jpg,kitchen,,stove,faucet,wet,cooking,,,,
812292,663fde07bc0f5f1d685b4549.jpg,shack,,rattan,outdoors,walls,roof,,,,
734511,61c24d87fe356b47cc942a5a.jpg,clothesline,,drying,laundry,trees,outdoors,chores,leaves,cleaning,washing
287276,61c24d87fe356b47cc942a5a.jpg,tree,,sky,cloth,soil,gress,,,,
507028,61c24d87fe356b47cc942a5a.jpg,clip,bright,cloth,dryer,leaves,tree,plants,sky,cloud,blue
812292,619d6bc559f4ce548f0f26ab.jpg,Kitchen,,cabinet,dishes,Cooking,stove,,,,
730266,619d6bc559f4ce548f0f26ab.jpg,kitchen room,,kitchen tools,water tape,dish,grill pan,,,,
156782,619d6bc559f4ce548f0f26ab.jpg,white flooring,,cabinet,drawers,burners,machines,cooking use,utensils,,
289553,648708b461d76d12ad6b3dd3.jpg,trum,,stick,sheet,locker,street,,,,
412556,648708b461d76d12ad6b3dd3.jpg,outdoor,,drum,wall,stick,pipe,,,,
887094,648708b461d76d12ad6b3dd3.jpg,wall,,door,wood,mup,shirt,,,,
885427,62a645db9280e3179af99e8c.jpg,Greenery,,Drying Clothes,Cloudy Sky,Peaceful Environment,Simple Living,Rope,,,
252240,62a645db9280e3179af99e8c.jpg,drees,,dress,Rope,Building,clip,,,,
812292,5f31dc581d4eb52b8bcac880.jpg,Kitchen,,fridge,exterior door,white,galley style,,,,
291867,5f31dc581d4eb52b8bcac880.jpg,Kitchen,Shelves,Refrigerator,Door,Trash bag,Sink,Stove,Cabinets,Light bulb,Paper
547533,5f31dc581d4eb52b8bcac880.jpg,Kitchen,Household,Refrigerator,Counter,Cabinets,Door,Floor,Appliances,Sink,Interior
148974,5fd04796f2d9500e435941a2.jpg,HOME,,DOOR,LOCK,REPAIR,WORK,,,,
692158,5fd04796f2d9500e435941a2.jpg,one girl,,one persion hand,door,bathroom,pipe,,,,
814265,5fd04796f2d9500e435941a2.jpg,man,,women,door,lock,cloth,,,,
376524,618e6599faa85d91ed8e02a3.jpg,Sink,Bathroom,Bathtub,Toiletries,Toothbrushes,Soap dispenser,Blue wall,Tiled floor,Towel,Mirror
587058,618e6599faa85d91ed8e02a3.jpg,fridge,,sink,water,clean,wash,,,,
370862,618e6599faa85d91ed8e02a3.jpg,Kitchen,,Refrigerator,Oven,sink,Kettle,Toaster,,,
812292,5d4bf050cf0b3a0f3f354bb2.jpg,door,,clay,outdoors,cluttered,rattan,,,,
207084,5d4bf050cf0b3a0f3f354bb2.jpg,cloths,,dirty,bathroom,wash,floor,,,,
115430,5d4be3facf0b3a0f3f33f476.jpg,bucket,,clothes,grass,tree,house,,,,
176560,5d4be3facf0b3a0f3f33f476.jpg,sky,,house,ground,tress,pucket,,,,
734511,5d4be539cf0b3a0f3f341894.jpg,kitchen,,appliance,stove,microwave,interior,home,cooking,cabinets,storage
563304,5d4be539cf0b3a0f3f341894.jpg,Cooking,Organization,Food,Appliances,Utensils,Ingredients,Recipes,Dining,Storage,Cleaning
918411,5d4be539cf0b3a0f3f341894.jpg,cabinet,,photo frame,vessel,chair,table,,,,
436953,5d4beca6cf0b3a0f3f34e482.jpg,door,,lock,house,steps,cloth,,,,
176560,5d4be22ccf0b3a0f3f33c433.jpg,tresh,,ground,wood,sky,plastic,,,,
416025,5d4be22ccf0b3a0f3f33c433.jpg,hanging clothes,,outdoor area,blue top,white t-shirt,red dress,dirty place,dress clip,,
494896,65495efeeb3a1bd7020a3960.jpg,Kitchen,,Appliances,Countertop,Fridge,Compact,,,,
885427,5d4bee4ecf0b3a0f3f351278.jpg,Entrance,,Blue Door,Window,Slippers,Village Life,Simple Living,,,
734511,5d4bee4ecf0b3a0f3f351278.jpg,blue door,,home,house,steps,stairway,exterior,window,,
287276,5d4bee4ecf0b3a0f3f351278.jpg,house,,door,blue color,siol,window,,,,
421763,62a2609b9280e313ddf7ddb9.jpg,water,,kills,soil,tree,crass,leaf,,,
730266,62a2609b9280e313ddf7ddb9.jpg,agri land,,grasses,cloth,plants,soil,,,,
336136,62a2609b9280e313ddf7ddb9.jpg,Outdoor,,Cloth,White,Drying,Grass field,,,,
287276,5ec4fb86f0611d7ddd7428df.jpg,cuboard,,oven,water chicken,tap,wall,,,,
287276,5d4bee1dcf0b3a0f3f350dd4.jpg,tree,,leafe,house,wall,soil,,,,
662000,5d4bee1dcf0b3a0f3f350dd4.jpg,rope,,tree,house,land,stick,,,,
178862,5ec4f9d8f0611d7ddd741add.jpg,door,,plant,wall,grip,ground,,,,
176560,5ec4f9d8f0611d7ddd741add.jpg,house,,door,wood,wall,sky,,,,
178862,5d4be169cf0b3a0f3f33b079.jpg,dress,,tailes,plate,sticker,room,,,,
812292,5d4be169cf0b3a0f3f33b079.jpg,Pink,,stone wall,tile,dishes,old,,,,
812292,5d4be66fcf0b3a0f3f343aaf.jpg,stucco,,windows,door,food,outdoors,,,,
776491,5d4bece9cf0b3a0f3f34eace.jpg,cloth,,hnager,greenies,dry,sun light,,,,
853350,5d4bece9cf0b3a0f3f34eace.jpg,Fabric,Damaged,Barbed wire,Brown,Woolen,White,Frayed,Hole,Outdoors,Green foliage
370862,5d4bece9cf0b3a0f3f34eace.jpg,outdoors,,plants,cloth line,white towel torn,Brown cloth,,,,
861370,5d4bf405cf0b3a0f3f35aee6.jpg,Kitchen,,Compact,Cooking,Small space,Appliances,,,,
934851,5d4bf46bcf0b3a0f3f35b9ca.jpg,house,,wall,ground,door,clothes,,,,
345581,5d4bf46bcf0b3a0f3f35b9ca.jpg,Mud brick houses,Cultural heritage,Thatched roofs,Rural village,African architecture,Traditional dwelling,Simple living,Outdoor scene,Dry climate,Community life
776491,5d4bf46bcf0b3a0f3f35b9ca.jpg,sand,,house,cloth,hut,door,,,,
284919,5ec4f967f0611d7ddd741714.jpg,sink,,water,tap,kitchen,stove,utensil,,,
148974,5ec4f967f0611d7ddd741714.jpg,house,,work,clean,food,process,,,,
823524,5d4bdf31cf0b3a0f3f33744d.jpg,door,,wood,house,tang,waste,,,,
730266,5d4bdf31cf0b3a0f3f33744d.jpg,door,,tub,wooden door,lock,wooden building,,,,
272809,5d4bdf31cf0b3a0f3f33744d.jpg,houswe,,door,closed,wooded,rooms,,,,
336785,5d4bf051cf0b3a0f3f354bc6.jpg,Exterior,,Dressess,Clothesline,Mud hut,Rural,Village,Outdoor,,
148974,5d4bf051cf0b3a0f3f354bc6.jpg,house,,clean,work,dress,wash,,,,
675658,5d4bf282cf0b3a0f3f3585ea.jpg,Kitchen,Rustic,Refrigerator,Stove,Pots,Wooden,Counter,Cables,Cupboard,Utensils
861370,5d4bf282cf0b3a0f3f3585ea.jpg,kitchen,,compact,appliances,cabinet,storage space,cozy,,,
782846,5ec4f9e6f0611d7ddd741b57.jpg,Hut,Indigenous,Thatched roof,Wooden sticks,Mud walls,Padlock,Traditional,Rural,Carvings,Bare earth
442322,5ec4f9e6f0611d7ddd741b57.jpg,Village hut,Wooden hut,Traditional hut,Bamboo hut,Thatched hut,Locked hut,Old hut,Abandoned hut,Small hut,Shanty house
421763,5ec4f9e6f0611d7ddd741b57.jpg,house,,door,reeper,steel stand,soil,,,,
730266,5d4befefcf0b3a0f3f35415c.jpg,dirty cloth,,soil building,wooden near the soil home,rope tide in wooden,tub is in near the home,,,,
421763,5d4befefcf0b3a0f3f35415c.jpg,house,,clothes,soil,leafes,bucket,home,,,
587058,5f417f35e93ed0579f8b5956.jpg,COOKER,,COUNTER TOP,KITCHEN,GAS,VESSELS,,,,
734511,5f417f35e93ed0579f8b5956.jpg,pots,,pans,shelves,cabinet,kitchen,room,cooking,interior,
230980,5f417f35e93ed0579f8b5956.jpg,Kitchen,Storage,Shelf,Pots,Bowls,Cloth,Stove,Cooking,Unfinished wall,Utensils
812292,5d4be256cf0b3a0f3f33c8b5.jpg,door,,exterior,windows,brick,curtains,,,,
259056,5d4be256cf0b3a0f3f33c8b5.jpg,door,,handle,glass,wall,screen,,,,
435753,5d4befd3cf0b3a0f3f353e8c.jpg,blanket,,laundry,tree,clothes line,blue,sky,clody,,
889336,5d4bf1d3cf0b3a0f3f3572f6.jpg,buckets,,cleaning supplies,washbasins,messy,disorganized,,,,
421763,5d4bf1d3cf0b3a0f3f3572f6.jpg,waste things,,tub,stove,sliver things,clothes,,,,
494374,629e7167068439bbcf19204d.jpg,grunge,disstressed,urban,contrast,decay,dirty door,texture,industrial,rustic,vivid screen
178862,5d4bf20acf0b3a0f3f357946.jpg,clay,,wood stick,ground,stone,iron,,,,
272809,5d4bf20acf0b3a0f3f357946.jpg,DIRTY,,WOODEN,FIRE ALTER,BARKS,TORN DRESS,,,,
284919,65a195e4d61ce679dbd64800.jpg,bag,,tableqpan,stove,bottle,fridge,,,,
416025,65a195e4d61ce679dbd64800.jpg,cooking room,dirty wall,fridge,red bag,stove,cooking pot,oil can,table curtain,plastic chair,jugs
782846,65a195e4d61ce679dbd64800.jpg,Kitchen,Wires,Table,Gas stove,Pot,Red bag,Refrigerator,Utensils,Bottle,Containers
782846,5d4beb78cf0b3a0f3f34c47a.jpg,House,Exterior,Balcony,Car,SUV,Gate,Tree,Greenery,Roof,Stone wall
412556,5d4beb78cf0b3a0f3f34c47a.jpg,car,,tree,house,gate,plant,,,,
115430,5d4becd5cf0b3a0f3f34e88a.jpg,tree,,clothes,grass,sky,wire,,,,
918411,5d4becd5cf0b3a0f3f34e88a.jpg,tree,,sky,cloud,clothes,grass,,,,
138284,5d4becd5cf0b3a0f3f34e88a.jpg,Clothesline,Rope,Drying,Outdoors,Tree,Laundry,Rural,Overcast,Vegetation,Cornfield
336785,5d4bf486cf0b3a0f3f35bc62.jpg,Wood stove,,Messy,Wooden walls,Cooking,Kitchen,Pots and pans,,,
823524,5d4bf486cf0b3a0f3f35bc62.jpg,kitchen,,vessales,old models,careful cooking,neet ness,,,,
812292,5d4bf486cf0b3a0f3f35bc62.jpg,cabin,,old,kitchen,dishes,dirt floor,,,,
334568,5d4bdee6cf0b3a0f3f336c6d.jpg,light,,door,empty,sun,free,,,,
433189,5d4bf3b9cf0b3a0f3f35a826.jpg,cloth,,wood,stick,tree,building,,,,
435753,6265e4621cf46a2b4ac21b2a.jpg,kitchen,sign,refrigerator,oven,cabinets,magnets,countertop,wallpaper,clock,pot
674761,6265e4621cf46a2b4ac21b2a.jpg,kicthen,,cooker,cylinder,breezer,mixer,room,,,
672975,6265e4621cf46a2b4ac21b2a.jpg,caboard,,fridge,dish washer,mixergrinder,presercooker,,,,
681246,5d4bf37fcf0b3a0f3f35a21a.jpg,tea mug,,rope,white and black colour,soil,hole,,,,
812292,5d4bf37fcf0b3a0f3f35a21a.jpg,dirt,,stripes,tea kettle,pot,cooking,,,,
918411,5d4bf37fcf0b3a0f3f35a21a.jpg,tea pot,,sand,pot,black,cap,,,,
662000,5d4bf44dcf0b3a0f3f35b696.jpg,rock,,tub,bucket,rod,wood,,,,
138284,5d4bf44dcf0b3a0f3f35b696.jpg,Buckets,Tools,Rocks,Dirt,Green,White,Containers,Outdoor,Rough,Construction
356312,5d4bf44dcf0b3a0f3f35b696.jpg,stone,,mug,bucket,water,cloth,,,,
734511,5ec4fa37f0611d7ddd741dfd.jpg,door,,latch,cloth,potted plant,exterior,home,house,,
547533,5ec4fa37f0611d7ddd741dfd.jpg,Weathered door,Outdoor setting,Metal frame,Brass handle,Lock,Hanging cloth,Plastered wall,Green and white paint,Clutter,Plant pots
282053,5d4bf37ecf0b3a0f3f35a1f8.jpg,Mud wall,,Dress,Cloths,Outdoor,Nature,Village,Poverty area,,
412556,5d4bf37ecf0b3a0f3f35a1f8.jpg,cloth,,hanger,pot,lid,outdoor,,,,
934851,5ec4fa80f0611d7ddd742034.jpg,WALL,,FRIDGE,CHAIR,windowew,floor,,,,
272809,5ec4fa80f0611d7ddd742034.jpg,FRIDGE,,STONES,CHAIR,SIT,ROOM,HOUSE,,,
331096,5ec4fa80f0611d7ddd742034.jpg,window,,freze,floor,small table,table,,,,
251478,5d4bdf55cf0b3a0f3f3377bd.jpg,Door,,Window,Wall,Chair,Mirror,,,,
460365,5d4bf118cf0b3a0f3f355f78.jpg,t-shirt,,skirt,mug,water container,trees,,,,
504162,5d4bf118cf0b3a0f3f355f78.jpg,cloth,,door,roof,tree,wall,,,,
665983,5d4bf257cf0b3a0f3f3581d2.jpg,vessals,,bucket,bridge,stand,wall,,,,
570379,5d4bf02fcf0b3a0f3f354852.jpg,CONTAMINATED BUCKET,TARNISHED WATER HOLDER,MUDDY WATER CONTAINER,STALE WATER PAIL,FILTHU LIQUID HOLDER,POLLUTED WATER BASIN,GRIMY WATER BUCKET,SULLIED WATER VESSEL,CLOUDY WATER RECEPTACLE,SOILED WATER TUB
776491,5d4bf02fcf0b3a0f3f354852.jpg,water,,tub,dirty,sand,dust,,,,
345581,5d4bf1b9cf0b3a0f3f356ffe.jpg,Makeshift kitchen,Minimalist living,Yellow bucket,Cooking stove,Metal dishes,Canvas tent,Plastic containers,Temporary setup,Tent interior,Household utensils
734511,5d4bf1b9cf0b3a0f3f356ffe.jpg,bin,,bucket,furniture,stool,tent,home,interior,,
309281,5d4bf1b9cf0b3a0f3f356ffe.jpg,Tent,Cooking,Kitchen,Utensils,Stove,Bucket,Table,Chair,Containers,Dishes
446378,5ec4f987f0611d7ddd74181f.jpg,step,,mat,piler,door,chair,table,,,
726431,5ec4f987f0611d7ddd74181f.jpg,door,,window,stair,table,wall,,,,
560849,5ec4f987f0611d7ddd74181f.jpg,steps,,door,house,mat,window,,,,
812292,5d4bf0b1cf0b3a0f3f355580.jpg,Tin can,,rust,dirt,rocks,dirty water,,,,
412556,5d4bf0b1cf0b3a0f3f355580.jpg,container,,stone,water,outdoor,white red,,,,
259056,5d4bf0b1cf0b3a0f3f355580.jpg,STONE,,TUB,WATER,VESSSEL,SAND,,,,
115430,5d4becb7cf0b3a0f3f34e60c.jpg,covers,,buckets,water,floor,wall,,,,
291867,5d4becb7cf0b3a0f3f34e60c.jpg,Buckets,Supplies,Plastic bags,Wooden spoon,Wall,Floor,Containers,Household,Storage,Kitchen
734511,6509b2e407478461a687f1a2.jpg,clothes,,laundry,drying,trees,hay,scaffolding,fence,,
230980,6509b2e407478461a687f1a2.jpg,Clothesline,Handmade structure,Clothing,Wooden sticks,Arid environment,Outdoor drying,Corrugated metal,Vegetation,Rustic,Branches
934851,5d4be198cf0b3a0f3f33b4f5.jpg,window,,draw,table,clothes,hANGER,,,,
178862,5d4be198cf0b3a0f3f33b4f5.jpg,table,,window,flour,can,tailes,,,,
230980,5d4be198cf0b3a0f3f33b4f5.jpg,Kitchen,Functional  I hope these,Countertop,Containers,Bottles,Window,Pink cloth,Food packages,Tiled walls,White cabinet
776491,5d4bf08fcf0b3a0f3f3551f0.jpg,water,,bucket,floor,dry,dirty,,,,
812292,5d4bf08fcf0b3a0f3f3551f0.jpg,Water,,Dirt,pail,blue,outside,,,,
284919,5d4bf08fcf0b3a0f3f3551f0.jpg,bucket,,water,outdoor,sand,waste,,,,
776491,5d4bee33cf0b3a0f3f350f62.jpg,cloth,,outside,house,grass,sand,,,,
885427,5d4bee33cf0b3a0f3f350f62.jpg,Sand House,,Simple Living,Banana Trees,Farm Field,Black Coat,Greenery,,,
494374,5d4be150cf0b3a0f3f33ad93.jpg,countertop organisation,MessyCountertop,MessyCookingSpace,CountertopClutter,KitchenStorageSolutions,DailyKitchenMess,UnorganizedKitchen,KitchenChaos,ClutteredKitchen,KitchenCleanup
355768,5d4be150cf0b3a0f3f33ad93.jpg,Kitchen,Cookware,Countertop,Cabinets,Sink,Blender,Dish rack,Kettle,Utensils,Appliances
533612,5d4bf190cf0b3a0f3f356b86.jpg,Yellow door,Cultural significance,Peephole,Decorative stickers,Door handle,Key lock,Bell chains,Entrance,Plaque,Tiled wall
853350,5d4bf058cf0b3a0f3f354c44.jpg,Clothesline,,Hanging,Garments,Barrels,Rural setting,Everyday life,,,
916605,5d4be1e4cf0b3a0f3f33bc61.jpg,Wooden door,,Brick wall,Open doorway,Outdoor sunlight,Grass yard,,,,
889336,5d4bf059cf0b3a0f3f354c5c.jpg,bowls,,buckets,basins,soapy water,washing,,,,
934851,5d4bf059cf0b3a0f3f354c5c.jpg,plastics,,vessels,floor,wall,water,,,,
178862,5d4bef28cf0b3a0f3f352b9a.jpg,dress,,wood stick,banana tree,cross,ground,,,,
815247,5d4bef28cf0b3a0f3f352b9a.jpg,Bamboo sticks,,Clothes,Clothes hanging,Trees,Banana tree,,,,
291867,5d4bef28cf0b3a0f3f352b9a.jpg,Clothesline,Drying,Rural,Laundry,Wooden poles,Bamboo,Banana plants,Greenery,Outdoor,Natural
282053,5d4bde4dcf0b3a0f3f335e2b.jpg,Kitchen,,Countertop,Appliances,Window,Functional,Interior,Cozy,,
156782,5d4bde4dcf0b3a0f3f335e2b.jpg,cooking space,,spacious,utensil,drawers,storage,stone flooring,useful machine,electronic items,
776491,5d4bef15cf0b3a0f3f35295c.jpg,pot,,container,bucket,yellow,paint,,,,
507028,5d4bef15cf0b3a0f3f35295c.jpg,bucket,shadow,water,tub,ground,floor,sunshine,empty,drops,reflection
460365,5d4bef15cf0b3a0f3f35295c.jpg,bucket,,cloth,water container,tank,pot,,,,
531113,5d4bf064cf0b3a0f3f354d6e.jpg,Brick building,Rectangular panel,Gable roof,Wooden door,Metal brackets,Stone steps,Green curtain,Uneven ground,Snow patch,Pipe
835592,5d4bdee9cf0b3a0f3f336cc5.jpg,Blue walls,,Two beds,Piles of clothes,Decorative rug,White curtains,,,,
178862,5d4bef0fcf0b3a0f3f3528b6.jpg,house,,dress,tree,plastic,ground,,,,
782846,5d4bef0fcf0b3a0f3f3528b6.jpg,Clothes,Resourceful,Drying,Plastic sheet,Slanted surface,Thatched roof,Buckets,Rural,Outdoor,Greenery
282053,5d4be179cf0b3a0f3f33b25b.jpg,Kitchen,,Home appliances,Kitchenware,Equipments,Interior,Wall,,,
918411,5d4be179cf0b3a0f3f33b25b.jpg,door,,juicer,towel,box,cabinet,,,,
355768,5d4be179cf0b3a0f3f33b25b.jpg,Cabinets,Decorative item,Countertop,Blender,Refrigerator,Freezer,Dishes,Containers,Wall outlet,Plastic bottle
381278,5d4bf0e0cf0b3a0f3f355a4e.jpg,Water Bucket,Rope,Faucet,Outdoor setup,Concrete basin,Plastic container,Dirt ground,Flip-flops,Shadows,Simple lifestyle
107775,5d4bf0e0cf0b3a0f3f355a4e.jpg,Bowl,,Slepper,Water,Jug,Tap,,,,
393568,5fd03c0df2d9500e4358f82e.jpg,person,,tree,plant,grass,land,,,,
176560,5ec4fa8ef0611d7ddd7420ae.jpg,hand,,vessel,water,water pipe,flash,,,,
776491,5ec4fa8ef0611d7ddd7420ae.jpg,hand,,wash,water,tap,clean,,,,
563304,5ec4fa8ef0611d7ddd7420ae.jpg,Handwashing,Safety,Hygiene,Soap,Water,Sink,Cleaning,Health,Hands,Faucet
776491,6181411a3edd5c8ae7fc677e.jpg,cup board,,fridge,mixer,electric,kitchen,,,,
934851,6181411a3edd5c8ae7fc677e.jpg,draw,,floor,vessels,fridge,television,,,,
336136,6181411a3edd5c8ae7fc677e.jpg,Kitchen,,Clean,Utenciles,Cupboard,Fridge,,,,
178862,5ec4f7e4f0611d7ddd740a12.jpg,door,,grip,sofa,plant,switch,,,,
730266,5ec4f7e4f0611d7ddd740a12.jpg,door,,wall picture,lock,sofa,slippers,,,,
284919,5d4bf004cf0b3a0f3f3543c2.jpg,floor,,outdoor,bucket,water,tub,,,,
823524,5d4bf004cf0b3a0f3f3543c2.jpg,palate,,water,sand,food,things,,,,
533612,5d4bf004cf0b3a0f3f3543c2.jpg,Bowl,Realism,Water,Debris,Dirt,Twigs,Outdoor,Natural,Blue rim,Ground
507028,5d4be62ccf0b3a0f3f34330f.jpg,fence,,cover,plastic,dust,garbage,tree,,,
284919,5ec4f767f0611d7ddd7405c9.jpg,kitchen,,countertop,utensils,cooker,stove,fruits,,,
217703,5ec4f767f0611d7ddd7405c9.jpg,Kitchen,,Refrigerator,Counter,Cabinets,Blender,Kettle,Stove,Toaster oven,
